title,originallink,link,description,pubDate,update
"당진시, 마을회관 건축에 공공건축가 참여 복합 표준모델 적용",http://yna.kr/AKR20220406073600063?did=1195m,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0013095935,이 마을회관은 주민 의견을 수렴해 공간을 구성해 사용자 만족도를 높이고 <b>코로나</b>19 팬데믹에 따른 언택트 시대에 공간 분리가 가능한 '모듈러'(modular) 공법을 도입해 에너지 절감까지 고려했다. 조숙경 건축과장은... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"서울시, 2025년까지 ‘공보육’ 비율 70%로 늘린다",https://www.khan.co.kr/local/Seoul/article/202204061115011,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003138797,우선 저출생과 <b>코로나</b>19 확산 등에 따라 인원 충족률 기준을 70% 이상에서 60%로 완화한다. 장애 아동과 다문화 가정 아동 등 사회취약계층을 얼마나 수용하는지 등을 고려해 가점을 부여하는 형태로 우대한다. 친환경 급... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
세대 구분 없이 이용률 증가···10명 중 6명 ‘실시간 방송 판매’로 쇼핑,https://www.khan.co.kr/local/Seoul/article/202204061116001,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003138799,<b>코로나</b>19 확산으로 비대면 소비가 보편화되면서 실시간 방송 판매(라이브 커머스)를 이용한 쇼핑 비중이 크게 증가한 것으로 나타났다. 서울시는 전국 20~50대 시민 4000명을 대상으로 라이브 커머스 경험을 조사한... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
[속보]확진자가 직접 약국에서 처방약 받는다,https://www.nocutnews.co.kr/news/5735418,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003628677,6일부터 <b>코로나</b>19 확진자들이 직접 약국을 방문해서 의사로부터 처방받은 의약품을 수령할 수 있게 됐다. 이에따라 그동안 가족들의 도움에 의존하느라 겪었던 어려움이 해소될 것으로 전망된다. ※CBS노컷뉴스는... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"광양 ‘만원의 희망’ 찾기 운동, 투병 공무원에게 7700만원 전달",https://www.seoul.co.kr/news/newsView.php?id=20220406500056&wlog_tag3=naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003263602,김 위원장은 “<b>코로나</b>19의 어려운 환경에도 각계각층의 시민들이 자발적으로 아름다운 동행을 실천해 주신데 대해 깊은 감사와 존경을 표한다”며 “하루빨리 모범공무원의 건강이 회복되기를 간절히 바란다”고 말했다.... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
'서울형어린이집' 25년까지 800개소로 확대…공보육 강화,https://www.nocutnews.co.kr/news/5735286,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=079&aid=0003628676,"서울시는 또 저출생과 <b>코로나</b>19 등 변화하는 보육환경과 보육의 질 중심 평가, 사회취약계층(장애아·다문화... 김선순 서울시 여성가족정책실장은 &quot;저출생, <b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해... ","Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"'S펜' 든 갤럭시S22, GOS 논란딪고 100만대 돌파한다",http://news.bizwatch.co.kr/article/industry/2022/04/06/0005,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=648&aid=0000007228,강민수 카운터포인트리서치 연구원은 &quot;갤럭시 S22 판매의 초기 흥행은 전작 출시 시기와 비교해 <b>코로나</b> 상황이 안정되고 있다는 측면과 기존의 탄탄한 수요층을 가지고 있던 노트 시리즈에 대한 대체 모델로서... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"대전시, 민간건축공사 지역 하도급 수주 컨디션 ‘맑음’",http://news.heraldcorp.com/view.php?ud=20220406000393,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001973919,"허태정 시장은“지역업체 참여율이 지속적으로 상승하고 있는 현상은 <b>코로나</b>로 힘든 겨울을 보내고 있는 지역건설업계에 가뭄에 단비와 같은 소식”이라며, “지속적인 현장관리와 시공사와의 적극적으로 소통으로... ","Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"비투비 이민혁, '꽃다발 보다 빛나는 외모' [MD포토]",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202204061116397219&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=117&aid=0003591418,'2022 보령해양머드박람회'(보령 머드축제)는 <b>코로나</b>19 팬데믹 이후 국내에서 치러지는 첫 국제 박람회로 오는 7월 16일부터 8월 15일까지 31일간 충남 보령시 대천해수욕장에서 열린다.,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"[주식초고수는 지금] 일동제약, <b>코로나</b> 치료제 승인 기대감에 매수·매도 1위",https://www.sedaily.com/NewsView/264L7OAFFP,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004038815,일동제약은 최근 일본 시오노기제약과 공동 개발 중인 먹는 <b>코로나</b>19 치료제의 상용화 기대감에 시장의 관심이 집중되고 있다. 일동제약이 공동 개발하고 있는 <b>코로나</b>19 치료제 후보물질 ‘S-217622’가 일본에서는... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"고성군, 5월 2일까지 지방소득세 확정 신고 기간 운영",https://mbcnewsgangwon.co.kr/article/yOvgbJP2KkpoYXyBpURL,https://mbcnewsgangwon.co.kr/article/yOvgbJP2KkpoYXyBpURL,"신고, 납부는 위택스를 통한 전자신고와 고성군청 재무과에 우편으로 할 수 있습니다. 고성군은 <b>코로나</b>19로 경영에 어려움을 겪고 있는 지역 기업이 납부 연장 신청을 할 경우 적극 검토해 연장해줄 방침입니다.","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"고양시, 청소년들에게 도서교환권 지급 '친구야! 책방가자~ ' 운영",http://www.lecturernews.com/news/articleView.html?idxno=94053,http://www.lecturernews.com/news/articleView.html?idxno=94053,고양시 관계자는 &quot;<b>코로나</b>19 장기화로 많은 걸 잃어버린 청소년이 자신의 꿈과 미래를 위한 책을 고를 수 있는 사업&quot;이라며 &quot;청소년이 마을의 교육 놀이터인 동네 책방을 자유롭게 드나들 수 있는 기회가 되길 바란다.&quot;고... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"경남 <b>코로나</b> 1만7182명, 26명 사망",http://www.kukinews.com/newsView/kuk202204060064,http://www.kukinews.com/newsView/kuk202204060064,"1%이다. 위중증 환자는 46명(치료중인 환자대비 0.04%)이다. 병상 가동률은 42.7%, <b>코로나</b> 19 예방접종률은 1차접종 287만6171명(87.1%), 2차접종 284만4236명(86.2%), 3차접종 209만5601명(63.5%)이다. 창원=","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
<b>코로나</b>19 속 소비트렌트 변화…10명 중 6명 라이브커머스 ‘경험’,http://www.edaily.co.kr/news/newspath.asp?newsid=02528886632293496,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0005183476,<b>코로나</b>19 장기화로 라이브커머스(실시간 방송 판매)를 통해 일상 용품을 구매하는 소비자들이 크게 늘고... 서울시는 <b>코로나</b>19 장기화와 소비트랜드 변화 등 비대면 쇼핑 일상화로 급증하고 있는 라이브커머스... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"캠코 60주년, &quot;소상공인*자영업자 지원에 모든 역량 집중할 것&quot;",https://busanmbc.co.kr/article/SAcbR86anVUZtkBfXZAO,https://busanmbc.co.kr/article/SAcbR86anVUZtkBfXZAO,"부산에 본사를 둔 한국자산관리공사 캠코는 오늘(6) 오전 부산국제금융센터 3층 캠코마루에서 창립 60주년 기념식을 개최하고, <b>코로나</b>19로 어려움을 겪고 있는 소상공인과 자영업자에 대한 지원에 총력을 다하겠다고... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
서울시 '서울형어린이집' 2025년까지 800개소로 확대한다,https://www.etoday.co.kr/news/view/2121228,https://www.etoday.co.kr/news/view/2121228,"김선순 서울시 여성가족정책실장은 “저출생, <b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해 서울형어린이집 지원은 확대하고 진입장벽은 완화할 계획”이라며 “국공립어린이집 확충과 함께 서울형어린이집을... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
2022년 아웃소싱 산업 리딩할 [대한민국 100대 아웃소싱기업] 책자 발간,http://www.outsourcing.co.kr/news/articleView.html?idxno=93729,http://www.outsourcing.co.kr/news/articleView.html?idxno=93729,3년째를 맞이한 <b>코로나</b>19 바이러스발 경기침체와 고용불안이 아웃소싱업계에도 심각한 타격을 입히며 진행중이지만 이번 고비를 지나고 나면 본격적인 경기회복세가 기대되고 있다. 아웃소싱타임스는 창간 27주년을... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
벚꽃개화기 은파호수공원 <b>코로나</b> 방역질서 유지 비상근무 실시,http://www.discoverynews.kr/news/articleView.html?idxno=775347,http://www.discoverynews.kr/news/articleView.html?idxno=775347,시 관계자는 &quot;벚꽃 개화기 관광지에 많은 관광객이 몰릴 것으로 예상되며 <b>코로나</b>19 변이 등에 대한 주의가 요구되고 있다&quot;며 &quot;비상 근무를 통해 방역과 질서유지에 만전을 다 하도록 최선을 다 하겠다&quot;고 말했다.,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
‘서울형어린이집’ 2025년까지 800개소 확대…“공보육 강화”,http://www.edaily.co.kr/news/newspath.asp?newsid=02525606632293496,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0005183475,"김선순 서울시 여성가족정책실장은 “저출생, <b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해 서울형어린이집의 지원은 확대하고 진입장벽은 완화할 계획”이라며 “서울형어린이집을 대폭 늘려 2025년까지 서울시... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
글로벌 시장에서 '홈런' 에이피알 급성장에 '눈길',http://www.econovill.com/news/articleView.html?idxno=571288,http://www.econovill.com/news/articleView.html?idxno=571288,"비즈니스도 <b>코로나</b> 시국이 마무리 되어가며 확장할 계획이다. 지난해 에이피알은 캐나다, 말레이시아 법인을 설립했으며 연내 영국, 프랑스 등 유럽 대륙으로도 진출할 계획을 추진 중이다. 특히 <b>코로나</b> 종식에... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
농촌 어르신들 병원 가려면 왕복 1시간 더 걸려…의료 접근성 취약,http://www.newsis.com/view/?id=NISX20220406_0001822729&cID=10401&pID=10400,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0011106394,"다음으로 '<b>코로나</b>19로 시설을 운영하지 않아서'(25.5%)와 '이용시설 부재'(16.7%) 등 시설 운영의 정상화와 복지시설의 지속적인 확충이 필요한 것으로 나타났다. 농어촌 주민 종합 생활 만족도는 53.4점으로, 환경·경관... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"익산 농촌관광, 현장에서 답을 찾다",https://www.jjan.kr/article/20220406580055,https://www.jjan.kr/article/20220406580055,시농촌활력과 권영택 담당은 “이번 포럼을 통해 지속 가능한 관광생태계 구축과 <b>코로나</b>19 이후 농촌관광과 연계한 여행상품 개발에 대한 방향성 모색의 중요성이 새삼 강조됐다. 익산이 농촌관광의 메카로 자리매김 할수... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"현대글로비스 &quot;소비자 64%, 첫차로 중고차 선호…허위매물은 걸림돌&quot;",https://www.dailian.co.kr/news/view/1100513/?sc=Naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002591817,기존에는 중고차를 직접 보고 고르는 방식이 지배적이었으나 <b>코로나</b>19 장기화로 인한 이커머스 소비 트렌드 확산이 중고차 시장에도 영향을 끼친 것으로 분석된다고 회사 측은 설명했다. 첫차로 가장 희망하는 차종은... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"DGB대구은행, '비대면 실명확인 얼굴인증' 서비스 순항... 전자 금융거래 전반...",https://www.foodneconomy.com/news/articleView.html?idxno=334751,https://www.foodneconomy.com/news/articleView.html?idxno=334751,DGB대구은행 관계자는 &quot;<b>코로나</b>19 장기화로 언택트 금융 비중이 크게 증가함에 따라 시간에 제한 없는 서비스 제공이 필요했다&quot;는 배경을 설명하면서 &quot;기존 비대면 실명확인 방식인 계좌검증 또는 영상통화에 얼굴인증을... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"[B tv 부산뉴스] 거리두기 완화, 영업시간 사라진 음식점",http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=139365,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=139365,<b>코로나</b>19로 인한 거리두기가 완화 되면서 움츠렸던 지역 경제도 활기를 찾는 모습입니다. 아직 완전한... <b>코로나</b>19로 인한 사회적 거리두기가 추가로 완화됐습니다. 4일부터 사적모임 인원은 10명으로 늘었고... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"프루프포인트, 한국법인 설립.. 북아시아 시장 공략 본격화",https://www.straightnews.co.kr/news/articleView.html?idxno=207908,https://www.straightnews.co.kr/news/articleView.html?idxno=207908,최근 프루프포인트는 고객사인 한 제약기업의 <b>코로나</b>19 백신 관련 영업 비밀 유출사고를 예방해 화제가 된 바 있다. 해당 제약사에서 근무하고 있는 직원이 영업 비밀을 외부에 유출하기 위해 회사 클라우드에서 다수의... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"세계은행, 올해 베트남 경제성장률 전망치 5.3%로 낮춰",http://www.insidevina.com/news/articleView.html?idxno=19844,http://www.insidevina.com/news/articleView.html?idxno=19844,"(사진=vnexpress) 세계은행(WB)이 지난 1분기 <b>코로나</b>19 감염자 급증과 주요 수출시장의 경기 침체를 반영해... 새로운 <b>코로나</b>19 변이 바이러스 발생, 유가 및 원자재가 고공행진, 내수회복 둔화 및 노동력 부족 등... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"SPC그룹, '상생 양파빵' 6종 출시",http://www.econovill.com/news/articleView.html?idxno=571289,http://www.econovill.com/news/articleView.html?idxno=571289,농협은 전국 농협은행을 통해 어려운 이웃과 <b>코로나</b>19 방역 활동 봉사자들에게 양파빵을 기부하기로 했다. SPC그룹은 지난해에 이어 올해도 <b>코로나</b>19로 확산으로 인한 양파 소비 급감으로 어려움에 처한 무안 양파... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
목숨걸고 백신 90번 맞은 60대 남성…이유 알고보니,http://news.mk.co.kr/newsRead.php?no=308886&year=2022,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=009&aid=0004945676,하루 최대 3번 맞기도 백신 반대자에 증명서 판매 <b>코로나</b>19 백신 접종 증명서를 팔기 위해 백신을 90번가량... 초까지 <b>코로나</b>19 백신을 최소 87번 접종한 혐의를 받고 있다. A씨는 자신의 이름과 생년월일로 백신 접종을... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"MS, 윈도11에 실시간 자막 처리 기능 추가",https://www.nbntv.co.kr/news/articleView.html?idxno=964779,https://www.nbntv.co.kr/news/articleView.html?idxno=964779,MS 화상회의 앱 '팀즈'/사진=MS <b>코로나</b>19로 재택근무가 증가하자 마이크로소프트(MS)가 이 같은 트렌드에 초점을 맞춰 윈도11에 화상회의 기능을 추가했다. 5일(현지 시각) CNN은 MS가 윈도11 출시 6개월 만에 화상회의... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"서울시, 2025년까지 '서울형어린이집' 800개소로 확대",http://www.fnnews.com/news/202204061036276790,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004815562,"김선순 서울시 여성가족정책실장은 &quot;저출생, <b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해 서울형어린이집의 지원은 확대하고 진입장벽은 완화할 계획&quot;이라며 &quot;국공립어린이집 확충과 함께 서울형어린이집을 대폭... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"스리랑카, 시위 맞서 발동한 비상사태 해제…여론 압박에 밀려",http://yna.kr/AKR20220406069400077?did=1195m,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=001&aid=0013095934,"관광산업 의존도가 높은데다 대외 채무가 많은 스리랑카 경제는 2019년 4월 부활절 테러, 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 사태, 우크라이나 전쟁 등이 겹치면서 무너졌다. 외화 부족으로 식품, 의약품, 종이 등 필수품... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
[<b>코로나</b>19] 팬데믹으로 얼었던 하늘 풀리나…&quot;국제선 운항 순차적 정상화&quot;,http://www.todaykorea.co.kr/news/articleView.html?idxno=298232,http://www.todaykorea.co.kr/news/articleView.html?idxno=298232,투데이코리아=박서경 기자 |국내 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 신규 확진자 수가 28만6272명을 기록한 가운데 정부는 국제선 운항을 순차적으로 정상화하겠다는 계획을 밝혔다. 6일 질병관리청... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
